Transaction_ID,Date,Product,Category,Customer_Age,Region,Quantity,Unit_Price,Total_Sales
1,01-01-2024,Headphones,Accessories,58,West,2,520,1040
2,02-01-2024,Smartwatch,Accessories,32,East,4,791,3164
3,03-01-2024,Tablet,Electronics,65,East,1,783,783
4,04-01-2024,Smartwatch,Accessories,57,East,4,1047,4188
5,05-01-2024,Smartwatch,Electronics,33,West,1,380,380
6,06-01-2024,Smartphone,Accessories,49,North,3,1267,3801
7,07-01-2024,Tablet,Accessories,54,East,3,1264,3792
8,08-01-2024,Tablet,Electronics,35,South,3,301,903
9,09-01-2024,Tablet,Accessories,37,East,2,1074,2148
10,10-01-2024,Smartwatch,Accessories,63,West,3,1163,3489
11,11-01-2024,Headphones,Electronics,19,South,2,567,1134
12,12-01-2024,Tablet,Accessories,40,West,1,1189,1189
13,13-01-2024,Smartwatch,Electronics,47,North,4,122,488
14,14-01-2024,Smartphone,Electronics,20,North,4,205,820
15,15-01-2024,Headphones,Electronics,63,West,2,772,1544
16,16-01-2024,Smartphone,Accessories,56,East,2,118,236
17,17-01-2024,Headphones,Accessories,64,South,2,520,1040
18,18-01-2024,Smartwatch,Electronics,66,East,1,541,541
19,19-01-2024,Laptop,Accessories,18,West,1,349,349
20,20-01-2024,Headphones,Electronics,58,West,3,1217,3651
21,21-01-2024,Smartphone,Accessories,39,East,3,1279,3837
22,22-01-2024,Smartwatch,Electronics,46,South,4,967,3868
23,23-01-2024,Headphones,Electronics,31,South,3,762,2286
24,24-01-2024,Laptop,Accessories,65,South,1,800,800
25,25-01-2024,Laptop,Electronics,45,South,1,456,456
26,26-01-2024,Tablet,Electronics,38,South,1,988,988
27,27-01-2024,Tablet,Accessories,62,North,1,629,629
28,28-01-2024,Smartphone,Electronics,49,North,4,1370,5480
29,29-01-2024,Headphones,Electronics,23,West,4,631,2524
30,30-01-2024,Headphones,Accessories,18,North,1,848,848
31,31-01-2024,Tablet,Electronics,38,South,2,578,1156
32,01-02-2024,Headphones,Electronics,21,South,3,186,558
33,02-02-2024,Headphones,Electronics,20,South,4,268,1072
34,03-02-2024,Laptop,Electronics,66,West,2,567,1134
35,04-02-2024,Tablet,Electronics,47,West,3,181,543
36,05-02-2024,Smartwatch,Electronics,48,East,2,1436,2872
37,06-02-2024,Tablet,Electronics,51,North,1,1417,1417
38,07-02-2024,Smartwatch,Electronics,36,North,3,1091,3273
39,08-02-2024,Laptop,Accessories,37,East,2,1489,2978
40,09-02-2024,Smartphone,Electronics,40,East,4,609,2436
41,10-02-2024,Headphones,Electronics,57,North,4,977,3908
42,11-02-2024,Laptop,Accessories,42,South,4,1226,4904
43,12-02-2024,Headphones,Electronics,32,North,3,381,1143
44,13-02-2024,Smartphone,Electronics,55,South,1,368,368
45,14-02-2024,Smartphone,Electronics,40,West,1,1272,1272
46,15-02-2024,Laptop,Electronics,69,North,3,1029,3087
47,16-02-2024,Smartphone,Electronics,19,North,3,1083,3249
48,17-02-2024,Smartwatch,Electronics,32,West,1,1212,1212
49,18-02-2024,Smartphone,Accessories,69,West,4,216,864
50,19-02-2024,Headphones,Accessories,61,West,1,196,196
51,20-02-2024,Headphones,Accessories,52,West,1,1476,1476
52,21-02-2024,Headphones,Accessories,27,West,2,988,1976
53,22-02-2024,Headphones,Accessories,31,East,4,494,1976
54,23-02-2024,Smartwatch,Electronics,44,East,3,119,357
55,24-02-2024,Tablet,Electronics,31,West,1,1401,1401
56,25-02-2024,Laptop,Electronics,52,West,4,882,3528
57,26-02-2024,Headphones,Electronics,50,West,3,968,2904
58,27-02-2024,Smartphone,Electronics,69,West,2,665,1330
59,28-02-2024,Headphones,Accessories,18,South,2,1302,2604
60,29-02-2024,Smartphone,Accessories,51,South,4,368,1472
61,01-03-2024,Smartphone,Electronics,36,West,1,85,85
62,02-03-2024,Headphones,Electronics,41,West,3,304,912
63,03-03-2024,Smartwatch,Electronics,59,North,4,1386,5544
64,04-03-2024,Smartphone,Accessories,21,West,2,1011,2022
65,05-03-2024,Smartphone,Accessories,53,West,3,384,1152
66,06-03-2024,Headphones,Electronics,30,East,3,1093,3279
67,07-03-2024,Smartphone,Accessories,49,South,1,347,347
68,08-03-2024,Smartphone,Electronics,26,West,2,1094,2188
